,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),24-Hour Passes Purchased (midnight to 11:59 pm),Total Annual Members (All Time),3-Day Passes Purchased (midnight to 11:59 pm)
5,10/6/18,57599,110421,5658,291298,310.0
6,10/7/18,60753,127033,6936,291425,277.0
7,10/8/18,58256,95097,2865,291549,121.0
8,10/9/18,74251,123973,2846,291672,207.0
9,10/10/18,77317,132255,3115,291765,202.0
10,10/11/18,46862,70173,1323,291862,59.0
11,10/12/18,67686,113055,3453,291962,255.0
12,10/13/18,54747,100652,2430,292029,125.0
13,10/14/18,54297,103697,4805,292158,204.0
14,10/15/18,59181,92219,1958,292262,95.0
15,10/16/18,66661,104171,2200,292370,158.0
16,10/17/18,67868,107762,2341,292469,134.0
17,10/18/18,61668,94356,1969,292519,143.0
18,10/19/18,64735,105730,3012,292604,192.0
19,10/20/18,56281,109142,5644,292711,309.0
20,10/21/18,39192,64764,2488,292811,100.0
21,10/22/18,57919,88293,1721,292899,133.0
22,10/23/18,68086,110293,2356,292992,181.0
23,10/24/18,64203,98615,1942,293077,97.0
24,10/25/18,61637,95827,2003,293309,146.0
25,10/26/18,59861,92569,2292,293508,131.0
26,10/27/18,13124,17949,333,293542,11.0
27,10/28/18,42502,74540,3134,293611,154.0
28,10/29/18,60028,92882,1853,293722,156.0
29,10/30/18,65545,102834,1957,293819,141.0
30,10/31/18,68447,114039,2544,294007,225.0
31,11/1/18,74260,128502,3288,294111,245.0
32,11/2/18,63746,105906,2817,294186,237.0
33,11/3/18,49127,89639,4200,294256,199.0
34,11/4/18,50713,98021,5107,294329,99.0
35,11/5/18,33345,47328,776,294396,31.0
36,11/6/18,40271,56313,1186,294442,29.0
37,11/7/18,67925,112354,2590,294527,189.0
38,11/8/18,64441,103621,2191,294595,146.0
39,11/9/18,36952,54282,1064,294647,63.0
40,11/10/18,37809,63740,2649,294689,132.0
41,11/11/18,36612,64197,2763,294744,78.0
42,11/12/18,51341,79338,1707,294792,79.0
43,11/13/18,36957,52453,751,294838,27.0
44,11/14/18,49621,70932,935,294882,30.0
45,11/15/18,24948,35594,407,294900,24.0
46,11/16/18,34447,49576,761,294915,48.0
47,11/17/18,37974,61206,2257,294951,56.0
48,11/18/18,34390,55093,1916,294988,45.0
49,11/19/18,54540,83935,1522,295037,84.0
50,11/20/18,51910,75746,1259,295070,37.0
51,11/21/18,40417,58441,1050,295112,39.0
52,11/22/18,8798,12626,369,295200,20.0
53,11/23/18,16107,23143,597,295439,26.0
54,11/24/18,20087,32011,1137,295530,41.0
55,11/25/18,34519,60831,2521,295688,36.0
56,11/26/18,29189,42333,499,296251,18.0
57,11/27/18,49979,74556,802,296351,31.0
58,11/28/18,48433,69352,777,296405,29.0
59,11/29/18,51468,76715,1054,296452,51.0
60,11/30/18,46001,67098,1065,296497,47.0
61,12/1/18,37989,62304,2256,296553,37.0
62,12/2/18,18418,26501,554,296584,11.0
63,12/3/18,53974,85524,1308,296664,62.0
64,12/4/18,49058,71843,867,296708,27.0
65,12/5/18,46779,67536,814,296753,38.0
66,12/6/18,46543,66885,910,296798,40.0
67,12/7/18,43841,63353,948,296843,52.0
68,12/8/18,29909,44552,1271,296867,46.0
69,12/9/18,27547,40886,1064,296897,23.0
70,12/10/18,43358,62699,762,296938,25.0
71,12/11/18,47335,68321,823,296974,20.0
72,12/12/18,47717,68600,748,297005,28.0
73,12/13/18,40736,57295,593,297042,14.0
74,12/14/18,44775,66633,1137,297078,44.0
75,12/15/18,36423,57244,1902,297119,45.0
76,12/16/18,9835,13599,203,297131,4.0
77,12/17/18,45382,66449,909,297173,32.0
78,12/18/18,41703,58360,656,297205,22.0
79,12/19/18,44096,63165,877,297238,22.0
80,12/20/18,34026,48713,751,297269,20.0
81,12/21/18,23996,34450,481,297290,24.0
82,12/22/18,24870,36653,1088,297327,25.0
83,12/23/18,22230,35921,1298,297355,37.0
84,12/24/18,18990,27246,681,297387,18.0
85,12/25/18,11177,21483,1080,297426,38.0
86,12/26/18,25358,39176,1118,297487,49.0
87,12/27/18,31169,48943,1510,297527,51.0
88,12/28/18,12039,17576,334,297555,25.0
89,12/29/18,29037,54116,2677,297622,104.0
90,12/30/18,22536,37741,1562,297682,51.0
91,12/31/18,18936,29794,962,297748,31.0
